Nov 06,4:15 PM,Rotary Complex (Molson),Huron-Perth Lakers,Waterloo Wolves,5,2
Nov 07,7:30 PM,RIM Park (Pillers),Waterloo Wolves,Cambridge Hawks,2,1
Nov 08,8:00 PM,Western Fair (Harvey's),London Jr Knights,Lambton Jr Sting,3,2
Nov 11,8:30 PM,Central Park (North),Windsor Jr Spitfires,London Jr Knights,7,2
Nov 13,4:15 PM,Rotary Complex (Molson),Huron-Perth Lakers,Windsor Jr Spitfires,4,6
Nov 14,7:30 PM,RIM Park (Pillers),Waterloo Wolves,Kitchener Jr Rangers,2,3
Nov 16,8:00 PM,Gretzky Center (#3),Brantford 99ers,Cambridge Hawks,6,1
Nov 17,8:00 PM,Western Fair (Harvey's),London Jr Knights,Huron-Perth Lakers,6,1
Nov 18,7:30 PM,Sarnia PASA (Rink 1),Lambton Jr Sting,Waterloo Wolves,2,1
Nov 18,8:30 PM,Galt Arena,Cambridge Hawks,London Jr Knights,1,3
Nov 19,6:00 PM,Activa (PJD),Kitchener Jr Rangers,Cambridge Hawks,7,3
Nov 19,7:00 PM,Gretzky Center (#4),Brantford 99ers,Windsor Jr Spitfires,3,6
Nov 20,2:00 PM,Gretzky Center (#3),Brantford 99ers,Windsor Jr Spitfires,2,1
Nov 20,4:00 PM,Sarnia PASA (Rink 1),Lambton Jr Sting,Kitchener Jr Rangers,2,1
Nov 20,7:30 PM,Western Fair (City Chrysler),London Jr Knights,Waterloo Wolves,2,7
Nov 22,8:00 PM,Activa (PJD),Kitchener Jr Rangers,Cambridge Hawks,3,4
Nov 23,7:30 PM,Central Park (North),Windsor Jr Spitfires,Lambton Jr Sting,2,3
Nov 24,8:00 PM,Activa (PJD),Kitchener Jr Rangers,Brantford 99ers,3,2
Nov 25,8:00 PM,Rotary Complex (RBC),Huron-Perth Lakers,London Jr Knights,5,4
Nov 25,8:30 PM,Galt Arena,Cambridge Hawks,Lambton Jr Sting,1,5
Nov 25,8:30 PM,Central Park (North),Windsor Jr Spitfires,Waterloo Wolves,6,1
Nov 27,1:30 PM,Central Park (North),Windsor Jr Spitfires,Waterloo Wolves,7,1
Nov 27,3:45 PM,Rotary Complex (Molson),Huron-Perth Lakers,Cambridge Hawks,2,1
Nov 27,4:00 PM,Sarnia PASA (Rink 1),Lambton Jr Sting,Brantford 99ers,5,3
Nov 27,7:30 PM,Western Fair (City Chrysler),London Jr Knights,Kitchener Jr Rangers,5,3
Nov 28,7:30 PM,RIM Park (Pillers),Waterloo Wolves,Huron-Perth Lakers,1,3
Nov 29,8:00 PM,Western Fair (Harvey's),London Jr Knights,Cambridge Hawks,5,0
Dec 02,8:00 PM,Activa (PJD),Kitchener Jr Rangers,Windsor Jr Spitfires,5,8
Dec 03,5:00 PM,Activa (PJD),Kitchener Jr Rangers,Windsor Jr Spitfires,4,3
Dec 03,5:30 PM,Hespeler (2),Cambridge Hawks,Brantford 99ers,1,0
Dec 05,7:30 PM,RIM Park (Pillers),Waterloo Wolves,Cambridge Hawks,3,0
Dec 06,8:00 PM,Sarnia PASA (Rink 2),Lambton Jr Sting,London Jr Knights,1,5
Dec 09,7:30 PM,Sarnia PASA (Rink 1),Lambton Jr Sting,Huron-Perth Lakers,9,2
Dec 09,8:30 PM,Central Park (North),Windsor Jr Spitfires,London Jr Knights,2,3
Dec 10,3:15 PM,Komoka CW&RC (1 - Molson),Lambton Jr Sting,Huron-Perth Lakers,3,1
Dec 11,4:15 PM,Rotary Complex (Molson),Huron-Perth Lakers,Brantford 99ers,1,5
Dec 14,8:00 PM,Gretzky Center (#3),Brantford 99ers,Waterloo Wolves,5,4
Dec 15,8:00 PM,Activa (PJD),Kitchener Jr Rangers,London Jr Knights,0,1
Dec 17,2:30 PM,Gretzky Center (#3),Brantford 99ers,Cambridge Hawks,4,1
Dec 17,4:00 PM,Central Park (North),Windsor Jr Spitfires,Huron-Perth Lakers,8,3
Dec 17,6:00 PM,Activa (PJD),Kitchener Jr Rangers,Lambton Jr Sting,2,0
Dec 18,1:00 PM,Gretzky Center (#3),Brantford 99ers,Lambton Jr Sting,7,4
