Oct 08,3:30 PM,Elgin Barrow (East),Richmond Hill Coyotes,Peterborough Petes,4,3
Oct 08,3:30 PM,Innisfil Rec (Red),Barrie Jr Colts,Kingston Jr Frontenacs,6,4
Oct 08,3:45 PM,Rama,North Central Predators,York-Simcoe Express,3,5
Oct 08,6:00 PM,Centennial,Markham Waxers,Central Ontario Wolves,7,0
Oct 09,12:00 PM,Jim Archdekin,Brampton 45s,Buffalo Regals,2,1
Oct 09,1:00 PM,Rama,North Central Predators,Kingston Jr Frontenacs,6,2
Oct 09,1:30 PM,Madoc,Quinte Red Devils,Oshawa Generals,5,2
Oct 09,2:00 PM,Powerade (RBC),Halton Hurricanes,Guelph Gryphons,2,3
Oct 09,2:30 PM,St. Andrews College,York-Simcoe Express,Markham Waxers,4,2
Oct 09,5:30 PM,Holly Rec (Rink 2),Barrie Jr Colts,Central Ontario Wolves,3,0
Oct 09,6:20 PM,Jim Archdekin,Brampton 45s,Buffalo Regals,3,2
Oct 10,6:45 PM,Legends (4),Oshawa Generals,Peterborough Petes,3,0
Oct 12,6:30 PM,Leisureplex (Jaycee),Southern Tier Admirals,Niagara North Stars,4,0
Oct 12,7:00 PM,Central,Burlington Eagles,Guelph Gryphons,2,0
Oct 13,5:45 PM,Lindsay Rec (2),Central Ontario Wolves,Clarington Toros,1,6
Oct 13,6:20 PM,Joshua Creek (Red),Oakville Rangers,Buffalo Regals,2,4
Oct 13,6:30 PM,Mohawk (Cogeco),Hamilton Jr Bulldogs,Halton Hurricanes,2,4
Oct 14,7:15 PM,Mohawk (Cogeco),Hamilton Jr Bulldogs,Burlington Eagles,3,1
Oct 15,11:30 AM,St. Andrews College,York-Simcoe Express,Quinte Red Devils,3,3
Oct 15,12:30 PM,Elgin Barrow (East),Richmond Hill Coyotes,Central Ontario Wolves,5,1
Oct 15,1:00 PM,Holiday (1),Buffalo Regals,Brampton 45s,3,1
Oct 15,1:30 PM,Douro,Peterborough Petes,Clarington Toros,1,1
Oct 15,2:50 PM,WERC (2),Guelph Gryphons,Halton Hurricanes,1,1
Oct 15,5:30 PM,Don Beer (3),Ajax-Pickering Raiders,North Central Predators,4,1
Oct 15,6:00 PM,Centennial,Markham Waxers,Barrie Jr Colts,3,2
Oct 16,12:30 PM,Powerade (RBC),Halton Hurricanes,Oakville Rangers,2,2
Oct 16,1:30 PM,Elvis Stojko,Richmond Hill Coyotes,Quinte Red Devils,3,6
Oct 16,1:30 PM,Holiday (1),Buffalo Regals,Hamilton Jr Bulldogs,7,5
Oct 16,3:30 PM,INVISTA (FL),Kingston Jr Frontenacs,Peterborough Petes,3,6
Oct 16,4:15 PM,McKinney (1),Whitby Wildcats,Clarington Toros,1,6
Oct 16,4:30 PM,St. Andrews College,York-Simcoe Express,Ajax-Pickering Raiders,6,1
Oct 16,5:00 PM,Lindsay Rec (1),Central Ontario Wolves,Markham Waxers,2,10
Oct 16,5:30 PM,Holly Rec (Rink 2),Barrie Jr Colts,Oshawa Generals,1,6
Oct 16,6:20 PM,Jim Archdekin,Brampton 45s,Southern Tier Admirals,4,1
Oct 18,7:00 PM,Elvis Stojko,Richmond Hill Coyotes,Barrie Jr Colts,0,1
Oct 19,6:15 PM,Quinte S & WC (FDC),Quinte Red Devils,Kingston Jr Frontenacs,9,0
Oct 19,6:30 PM,Leisureplex (Jaycee),Southern Tier Admirals,Burlington Eagles,3,6
Oct 19,7:00 PM,Don Beer (3),Ajax-Pickering Raiders,Whitby Wildcats,1,3
Oct 19,7:15 PM,Darlington,Clarington Toros,Peterborough Petes,4,6
Oct 20,6:20 PM,Joshua Creek (Red),Oakville Rangers,Niagara North Stars,5,1
Oct 22,3:00 PM,Marmora Arena,Quinte Red Devils,Barrie Jr Colts,1,3
Oct 22,3:00 PM,Evinrude (Atom),Peterborough Petes,York-Simcoe Express,5,8
Oct 22,6:00 PM,Centennial,Markham Waxers,Kingston Jr Frontenacs,8,2
Oct 23,1:15 PM,Village,Markham Waxers,Clarington Toros,3,1
Oct 23,1:45 PM,Holiday (1),Buffalo Regals,Oakville Rangers,10,1
Oct 23,2:00 PM,Cataraqui (Cataraui),Kingston Jr Frontenacs,Barrie Jr Colts,5,3
Oct 24,6:45 PM,Legends (4),Oshawa Generals,Central Ontario Wolves,5,0
Oct 26,6:30 PM,Leisureplex (Jaycee),Southern Tier Admirals,Halton Hurricanes,1,6
Oct 26,7:00 PM,Marmora Arena,Quinte Red Devils,Peterborough Petes,7,0
Oct 26,7:00 PM,Central,Burlington Eagles,Brampton 45s,3,2
Oct 27,6:20 PM,Joshua Creek (Red),Oakville Rangers,Hamilton Jr Bulldogs,2,5
Oct 27,6:30 PM,Mount Joy,Markham Waxers,Richmond Hill Coyotes,8,0
Oct 27,6:30 PM,IPSC (2),Whitby Wildcats,Oshawa Generals,5,3
Oct 28,7:00 PM,Rama,North Central Predators,Ajax-Pickering Raiders,2,1
Oct 29,12:15 PM,S-H SEC (Sportsplex) (4),Niagara North Stars,Oakville Rangers,2,0
Oct 29,2:30 PM,Rickard (B),Clarington Toros,York-Simcoe Express,4,4
Oct 29,3:00 PM,Evinrude (Atom),Peterborough Petes,Oshawa Generals,4,1
Oct 29,3:30 PM,Innisfil Rec (Red),Barrie Jr Colts,Quinte Red Devils,1,5
Oct 29,3:45 PM,IPSC (4),Whitby Wildcats,Richmond Hill Coyotes,4,3
Oct 29,4:30 PM,WERC (2),Guelph Gryphons,Southern Tier Admirals,6,2
Oct 29,5:45 PM,Lindsay Rec (2),Central Ontario Wolves,Kingston Jr Frontenacs,3,4
Oct 29,6:00 PM,Centennial,Markham Waxers,North Central Predators,8,0
Oct 30,1:00 PM,Rama,North Central Predators,Quinte Red Devils,0,6
Oct 30,1:30 PM,Campus (1),Oshawa Generals,Richmond Hill Coyotes,2,2
Oct 30,1:30 PM,Erin,Halton Hurricanes,Niagara North Stars,3,1
Oct 30,1:30 PM,Evinrude (Atom),Peterborough Petes,Markham Waxers,1,7
Oct 30,2:30 PM,St. Andrews College,York-Simcoe Express,Central Ontario Wolves,1,0
Oct 30,5:15 PM,McKinney (1),Whitby Wildcats,Kingston Jr Frontenacs,4,1
Oct 30,5:30 PM,Holly Rec (Rink 2),Barrie Jr Colts,Ajax-Pickering Raiders,3,1
Oct 30,6:20 PM,Jim Archdekin,Brampton 45s,Guelph Gryphons,4,4
Nov 02,6:30 PM,Leisureplex (Jaycee),Southern Tier Admirals,Buffalo Regals,6,4
Nov 02,7:00 PM,Central,Burlington Eagles,Niagara North Stars,2,4
Nov 05,11:00 AM,WERC (1),Guelph Gryphons,Buffalo Regals,4,1
Nov 05,3:15 PM,WERC (2),Guelph Gryphons,Buffalo Regals,1,4
Nov 06,12:00 PM,Campus (1),Oshawa Generals,North Central Predators,7,4
Nov 06,6:00 PM,Woodville/Eldon,Central Ontario Wolves,Ajax-Pickering Raiders,3,1
Nov 07,6:30 PM,Mohawk (Cogeco),Hamilton Jr Bulldogs,Guelph Gryphons,3,3
Nov 07,6:45 PM,Legends (4),Oshawa Generals,Ajax-Pickering Raiders,4,1
Nov 08,7:00 PM,Burgoyne,Niagara North Stars,Brampton 45s,1,3
Nov 08,7:00 PM,Elvis Stojko,Richmond Hill Coyotes,Whitby Wildcats,1,1
Nov 09,6:30 PM,Elvis Stojko,Richmond Hill Coyotes,Markham Waxers,0,3
Nov 09,6:30 PM,Leisureplex (Jaycee),Southern Tier Admirals,Hamilton Jr Bulldogs,3,4
Nov 09,7:00 PM,Central,Burlington Eagles,Halton Hurricanes,1,2
Nov 09,7:00 PM,Marmora Arena,Quinte Red Devils,Clarington Toros,1,0
Nov 10,6:20 PM,Joshua Creek (Red),Oakville Rangers,Brampton 45s,2,5
Nov 10,7:00 PM,Evinrude (Atom),Peterborough Petes,Oshawa Generals,3,8
Nov 10,7:30 PM,Rama,North Central Predators,Barrie Jr Colts,1,1
Nov 11,6:30 PM,IPSC (3),Whitby Wildcats,York-Simcoe Express,3,6
Nov 12,1:00 PM,Holiday (1),Buffalo Regals,Southern Tier Admirals,4,4
Nov 12,1:30 PM,Don Beer (3),Ajax-Pickering Raiders,Barrie Jr Colts,1,3
Nov 12,1:45 PM,WERC (2),Guelph Gryphons,Oakville Rangers,2,3
Nov 12,3:00 PM,Marmora Arena,Quinte Red Devils,North Central Predators,4,1
Nov 12,3:30 PM,Elgin Barrow (East),Richmond Hill Coyotes,Clarington Toros,3,6
Nov 12,5:30 PM,INVISTA (FL),Kingston Jr Frontenacs,Whitby Wildcats,0,8
Nov 12,6:00 PM,Centennial,Markham Waxers,York-Simcoe Express,7,1
Nov 12,7:30 PM,S-H SEC (Sportsplex) (1),Niagara North Stars,Burlington Eagles,2,4
Nov 13,2:00 PM,INVISTA (FL),Kingston Jr Frontenacs,North Central Predators,4,3
Nov 13,2:15 PM,Darlington,Clarington Toros,Peterborough Petes,5,2
Nov 13,3:00 PM,St. Andrews College,York-Simcoe Express,Markham Waxers,1,7
Nov 13,4:30 PM,Don Beer (2),Ajax-Pickering Raiders,Richmond Hill Coyotes,0,5
Nov 13,6:00 PM,Woodville/Eldon,Central Ontario Wolves,Oshawa Generals,2,7
Nov 13,6:20 PM,Jim Archdekin,Brampton 45s,Niagara North Stars,4,2
Nov 14,6:30 PM,Appleby (2),Burlington Eagles,Halton Hurricanes,2,0
Nov 14,7:00 PM,Mohawk (Cogeco),Hamilton Jr Bulldogs,Oakville Rangers,6,1
Nov 15,7:00 PM,Elvis Stojko,Richmond Hill Coyotes,Oshawa Generals,0,1
Nov 16,6:30 PM,Leisureplex (Jaycee),Southern Tier Admirals,Guelph Gryphons,1,4
Nov 16,7:00 PM,Central,Burlington Eagles,Buffalo Regals,1,3
Nov 16,7:00 PM,Don Beer (3),Ajax-Pickering Raiders,Markham Waxers,1,6
Nov 17,5:45 PM,Lindsay Rec (2),Central Ontario Wolves,Whitby Wildcats,2,4
Nov 18,6:45 PM,Acton (B),Halton Hurricanes,Hamilton Jr Bulldogs,0,3
Nov 19,2:30 PM,Rickard (B),Clarington Toros,Central Ontario Wolves,5,0
Nov 19,3:00 PM,Marmora Arena,Quinte Red Devils,Whitby Wildcats,4,2
Nov 19,3:30 PM,Elgin Barrow (East),Richmond Hill Coyotes,Kingston Jr Frontenacs,3,1
Nov 19,5:30 PM,Don Beer (3),Ajax-Pickering Raiders,North Central Predators,1,3
Nov 19,6:00 PM,Centennial,Markham Waxers,Oshawa Generals,5,1
Nov 20,12:00 PM,Elgin Barrow (East),Richmond Hill Coyotes,York-Simcoe Express,4,4
Nov 20,12:00 PM,Rickard (A),Clarington Toros,Kingston Jr Frontenacs,15,1
Nov 20,3:30 PM,Don Beer (3),Ajax-Pickering Raiders,Markham Waxers,1,8
Nov 20,4:35 PM,Acton (B),Halton Hurricanes,Southern Tier Admirals,3,3
Nov 20,5:30 PM,Lindsay Rec (1),Central Ontario Wolves,Quinte Red Devils,0,4
Nov 20,6:20 PM,Jim Archdekin,Brampton 45s,Burlington Eagles,2,1
Nov 21,6:30 PM,Mohawk (Cogeco),Hamilton Jr Bulldogs,Brampton 45s,2,3
Nov 21,7:10 PM,Rama,North Central Predators,Markham Waxers,1,4
Nov 23,6:30 PM,Leisureplex (Jaycee),Southern Tier Admirals,Oakville Rangers,5,1
Nov 24,6:20 PM,Joshua Creek (Red),Oakville Rangers,Burlington Eagles,2,5
Nov 25,7:00 PM,Rama,North Central Predators,Whitby Wildcats,1,5
Nov 26,1:15 PM,Evinrude (Atom),Peterborough Petes,Kingston Jr Frontenacs,6,2
Nov 26,1:45 PM,S-H SEC (Sportsplex) (2),Niagara North Stars,Halton Hurricanes,1,1
Nov 26,3:00 PM,Marmora Arena,Quinte Red Devils,Richmond Hill Coyotes,2,2
Nov 26,4:30 PM,St. Andrews College,York-Simcoe Express,Whitby Wildcats,4,3
Nov 26,5:30 PM,WERC (2),Guelph Gryphons,Brampton 45s,2,2
Nov 26,5:30 PM,Don Beer (3),Ajax-Pickering Raiders,Central Ontario Wolves,8,1
Nov 27,12:00 PM,Evinrude (Atom),Peterborough Petes,Quinte Red Devils,2,5
Nov 27,1:15 PM,Holiday (1),Buffalo Regals,Southern Tier Admirals,2,2
Nov 27,1:30 PM,Erin,Halton Hurricanes,Hamilton Jr Bulldogs,5,2
Nov 27,2:00 PM,INVISTA (FL),Kingston Jr Frontenacs,Richmond Hill Coyotes,2,5
Nov 27,2:30 PM,St. Andrews College,York-Simcoe Express,Ajax-Pickering Raiders,7,1
Nov 27,6:20 PM,Jim Archdekin,Brampton 45s,Oakville Rangers,6,0
Nov 28,6:30 PM,Mohawk (Cogeco),Hamilton Jr Bulldogs,Niagara North Stars,2,2
Nov 28,6:45 PM,Legends (4),Oshawa Generals,Barrie Jr Colts,3,3
Nov 29,6:30 PM,Fenelon Falls,Central Ontario Wolves,Peterborough Petes,1,3
Nov 30,6:00 PM,Darlington,Clarington Toros,Oshawa Generals,3,2
Nov 30,6:30 PM,Leisureplex (Jaycee),Southern Tier Admirals,Brampton 45s,6,5
Nov 30,7:00 PM,Central,Burlington Eagles,Hamilton Jr Bulldogs,3,1
Dec 01,6:00 PM,Evinrude (Atom),Peterborough Petes,Clarington Toros,2,13
Dec 01,6:20 PM,Joshua Creek (Red),Oakville Rangers,Halton Hurricanes,0,1
Dec 01,6:30 PM,IPSC (5),Whitby Wildcats,Markham Waxers,2,6
Dec 02,7:00 PM,St. Andrews College,York-Simcoe Express,Barrie Jr Colts,7,2
Dec 03,1:00 PM,Marmora Arena,Quinte Red Devils,York-Simcoe Express,5,2
Dec 03,1:15 PM,Holiday (1),Buffalo Regals,Oakville Rangers,10,4
Dec 03,4:00 PM,INVISTA (FL),Kingston Jr Frontenacs,Whitby Wildcats,1,5
Dec 03,4:00 PM,Elgin Barrow (East),Richmond Hill Coyotes,Ajax-Pickering Raiders,2,2
Dec 03,5:45 PM,S-H SEC (Sportsplex) (2),Niagara North Stars,Southern Tier Admirals,3,3
Dec 03,6:00 PM,Centennial,Markham Waxers,Peterborough Petes,6,4
Dec 03,7:15 PM,Lindsay Rec (2),Central Ontario Wolves,Clarington Toros,2,8
Dec 04,10:30 AM,Innisfil Rec (Red),Barrie Jr Colts,Peterborough Petes,3,2
Dec 04,1:15 PM,Rickard (A),Clarington Toros,Markham Waxers,3,4
Dec 04,3:00 PM,Campus (1),Oshawa Generals,Quinte Red Devils,0,2
Dec 04,5:15 PM,INVISTA (FL),Kingston Jr Frontenacs,York-Simcoe Express,5,7
Dec 04,6:00 PM,Woodville/Eldon,Central Ontario Wolves,Richmond Hill Coyotes,2,4
Dec 07,6:30 PM,Leisureplex (Jaycee),Southern Tier Admirals,Niagara North Stars,1,3
Dec 07,7:00 PM,Central,Burlington Eagles,Guelph Gryphons,1,1
Dec 08,6:20 PM,Joshua Creek (Red),Oakville Rangers,Buffalo Regals,3,4
Dec 09,6:30 PM,Evinrude (Atom),Peterborough Petes,Central Ontario Wolves,12,1
Dec 09,7:10 PM,East Bayfield (Green),Barrie Jr Colts,North Central Predators,6,2
Dec 10,1:00 PM,Rickard (B),Clarington Toros,Ajax-Pickering Raiders,4,0
Dec 10,2:30 PM,Wolfe Island,Kingston Jr Frontenacs,Peterborough Petes,5,6
Dec 10,3:00 PM,S-H SEC (Sportsplex) (1),Niagara North Stars,Hamilton Jr Bulldogs,1,2
Dec 10,3:30 PM,Holiday (1),Buffalo Regals,Brampton 45s,3,1
Dec 10,4:00 PM,Rama,North Central Predators,York-Simcoe Express,3,4
